algorithm,experiment,condition,trial,network_seed,parameter_source,noise_type,noise_rate_hz,teacher_weight,ciphertext_bytes,simulation_wall_s,decoder_tie_fraction,victor_purpura_mean,van_rossum_mean,bit_errors,ber,ciphertext_byte_accuracy,exact_ciphertext_recovery,decryption_success,exact_plaintext_recovery,plaintext_byte_accuracy,noise_seed
S-DES,teaching_ablation,default_stdp_teacher_off,7,345392676,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5342187089845538,0.07261904761904762,75.56125000000003,6.64324970302511,50,0.05952380952380952,0.6095238095238096,False,True,False,0.6095238095238096,170122531
S-DES,teaching_ablation,teacher_assisted_then_off,7,345392676,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5345544330775738,0.03214285714285714,81.98062499999999,6.811923077196937,15,0.017857142857142856,0.8571428571428572,False,True,False,0.8571428571428572,170122531
S-DES,teaching_ablation,teacher_only,7,345392676,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.0212411698885262,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,170122531
S-DES,teaching_ablation,full_network,7,345392676,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0219666080083698,0.0,129.663125,10.756195100723772,0,0.0,1.0,True,True,True,1.0,170122531
S-DES,teaching_ablation,es_stdp_teacher_off,8,69818518,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5289469021372497,0.014285714285714285,72.20562500000004,6.2415154195666815,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,1752740881
S-DES,teaching_ablation,es_static_teacher_off,8,69818518,ES static,poisson_excitatory,10.0,1200.0,105,0.5332973210606724,0.005952380952380952,65.51687500000003,5.870840815911097,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,1752740881
S-DES,teaching_ablation,default_stdp_teacher_off,8,69818518,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5332321571186185,0.07023809523809524,75.36062500000007,6.632859321183135,51,0.060714285714285714,0.638095238095238,False,True,False,0.638095238095238,1752740881
S-DES,teaching_ablation,teacher_assisted_then_off,8,69818518,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5390332771930844,0.030952380952380953,81.63062499999998,6.796929381538722,21,0.025,0.819047619047619,False,True,False,0.819047619047619,1752740881
S-DES,teaching_ablation,teacher_only,8,69818518,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.0344330361112952,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,1752740881
S-DES,teaching_ablation,full_network,8,69818518,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0243710759095848,0.0,129.28624999999997,10.732743738845743,0,0.0,1.0,True,True,True,1.0,1752740881
S-DES,teaching_ablation,es_stdp_teacher_off,9,1932421416,ES+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5342204431071877,0.014285714285714285,72.41499999999999,6.256756088345515,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,1307780114
S-DES,teaching_ablation,es_static_teacher_off,9,1932421416,ES static,poisson_excitatory,10.0,1200.0,105,0.5375934448093176,0.0035714285714285713,65.42750000000002,5.874801211585094,1,0.0011904761904761906,0.9904761904761905,False,True,False,0.9904761904761905,1307780114
S-DES,teaching_ablation,default_stdp_teacher_off,9,1932421416,default+STDP no teacher,poisson_excitatory,10.0,1200.0,105,0.5374157309997827,0.07023809523809524,75.51687500000007,6.639940340105797,54,0.06428571428571428,0.6095238095238096,False,True,False,0.6095238095238096,1307780114
S-DES,teaching_ablation,teacher_assisted_then_off,9,1932421416,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5355526350904256,0.03571428571428571,81.78125,6.7913841502273025,21,0.025,0.8095238095238095,False,True,False,0.8095238095238095,1307780114
S-DES,teaching_ablation,teacher_only,9,1932421416,Teaching-only shortcut,poisson_excitatory,10.0,1200.0,105,1.0375132099725306,0.0,51.36437500000004,5.542983517382245,0,0.0,1.0,True,True,True,1.0,1307780114
S-DES,teaching_ablation,full_network,9,1932421416,ES+teacher full network,poisson_excitatory,10.0,1200.0,105,1.0380833349190652,0.0,129.57874999999999,10.757090039579642,0,0.0,1.0,True,True,True,1.0,1307780114
S-DES,teaching_weight_sweep,teacher_assisted_then_off,0,226785320,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5449639251455665,0.016666666666666666,72.670625,6.274252830367404,8,0.009523809523809525,0.9238095238095239,False,True,False,0.9238095238095239,1297166988
S-DES,teaching_weight_sweep,teacher_assisted_then_off,0,226785320,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5371806488838047,0.06428571428571428,77.57687499999999,6.525065862938913,29,0.034523809523809526,0.7523809523809524,False,True,False,0.7523809523809524,1297166988
S-DES,teaching_weight_sweep,teacher_assisted_then_off,0,226785320,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5351373350713402,0.03571428571428571,78.34812499999997,6.581658562451208,13,0.015476190476190477,0.8761904761904762,False,True,False,0.8761904761904762,1297166988
S-DES,teaching_weight_sweep,teacher_assisted_then_off,0,226785320,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5342310001142323,0.025,79.75937499999998,6.688272465440788,16,0.01904761904761905,0.8857142857142857,False,True,False,0.8857142857142857,1297166988
S-DES,teaching_weight_sweep,teacher_assisted_then_off,0,226785320,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5361636269371957,0.034523809523809526,81.63875000000002,6.796319235516382,23,0.02738095238095238,0.8095238095238095,False,True,False,0.8095238095238095,1297166988
S-DES,teaching_weight_sweep,teacher_assisted_then_off,1,2055423894,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5483231050893664,0.013095238095238096,72.11250000000001,6.227315348436386,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,1759158937
S-DES,teaching_weight_sweep,teacher_assisted_then_off,1,2055423894,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.533536764094606,0.05714285714285714,77.32187499999995,6.505122660749388,25,0.02976190476190476,0.7904761904761904,False,True,False,0.7904761904761904,1759158937
S-DES,teaching_weight_sweep,teacher_assisted_then_off,1,2055423894,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5443954011425376,0.034523809523809526,78.10374999999998,6.56161095466611,11,0.013095238095238096,0.8952380952380953,False,True,False,0.8952380952380953,1759158937
S-DES,teaching_weight_sweep,teacher_assisted_then_off,1,2055423894,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5346650620922446,0.02738095238095238,79.87187499999999,6.693206213733568,14,0.016666666666666666,0.8761904761904762,False,True,False,0.8761904761904762,1759158937
S-DES,teaching_weight_sweep,teacher_assisted_then_off,1,2055423894,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5367536218836904,0.025,81.55125000000001,6.79212087698374,13,0.015476190476190477,0.8857142857142857,False,True,False,0.8857142857142857,1759158937
S-DES,teaching_weight_sweep,teacher_assisted_then_off,2,1669994235,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5445532940793782,0.015476190476190477,72.334375,6.241421418586433,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,1563890790
S-DES,teaching_weight_sweep,teacher_assisted_then_off,2,1669994235,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.535200682003051,0.05357142857142857,77.30187499999997,6.505728739260587,23,0.02738095238095238,0.8,False,True,False,0.8,1563890790
S-DES,teaching_weight_sweep,teacher_assisted_then_off,2,1669994235,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5435988868121058,0.02857142857142857,78.32499999999995,6.5882557660738685,9,0.010714285714285714,0.9142857142857143,False,True,False,0.9142857142857143,1563890790
S-DES,teaching_weight_sweep,teacher_assisted_then_off,2,1669994235,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5305030369199812,0.02261904761904762,80.05375,6.7085665951047755,11,0.013095238095238096,0.9047619047619048,False,True,False,0.9047619047619048,1563890790
S-DES,teaching_weight_sweep,teacher_assisted_then_off,2,1669994235,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.530540982959792,0.030952380952380953,81.60874999999996,6.802465252531971,20,0.023809523809523808,0.819047619047619,False,True,False,0.819047619047619,1563890790
S-DES,teaching_weight_sweep,teacher_assisted_then_off,3,344794737,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5308797110337764,0.014285714285714285,72.18687499999999,6.235901094749412,2,0.002380952380952381,0.9809523809523809,False,True,False,0.9809523809523809,2025620573
S-DES,teaching_weight_sweep,teacher_assisted_then_off,3,344794737,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5357050290331244,0.05476190476190476,76.865,6.480386970919544,20,0.023809523809523808,0.8380952380952381,False,True,False,0.8380952380952381,2025620573
S-DES,teaching_weight_sweep,teacher_assisted_then_off,3,344794737,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5333560509607196,0.02976190476190476,77.80374999999995,6.5457071086122856,5,0.005952380952380952,0.9523809523809523,False,True,False,0.9523809523809523,2025620573
S-DES,teaching_weight_sweep,teacher_assisted_then_off,3,344794737,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.535587253049016,0.02142857142857143,79.12749999999997,6.644125537653833,11,0.013095238095238096,0.9047619047619048,False,True,False,0.9047619047619048,2025620573
S-DES,teaching_weight_sweep,teacher_assisted_then_off,3,344794737,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.543929958017543,0.036904761904761905,81.47437500000001,6.783214470819049,22,0.02619047619047619,0.8,False,True,False,0.8,2025620573
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5318353038746864,0.015476190476190477,72.08187499999998,6.230043034968775,8,0.009523809523809525,0.9238095238095239,False,True,False,0.9238095238095239,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5423143559601158,0.05714285714285714,76.72687499999994,6.469582252626095,23,0.02738095238095238,0.8285714285714285,False,True,False,0.8285714285714285,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.534480761969462,0.036904761904761905,77.96312499999999,6.558913409294009,14,0.016666666666666666,0.8761904761904762,False,True,False,0.8761904761904762,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5368302022106946,0.02976190476190476,79.81312499999999,6.695242325430919,16,0.01904761904761905,0.8571428571428572,False,True,False,0.8571428571428572,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,4,183088143,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5359065840020776,0.036904761904761905,81.71187500000003,6.802904758066782,22,0.02619047619047619,0.819047619047619,False,True,False,0.819047619047619,921467076
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5339434409979731,0.011904761904761904,72.31437500000001,6.241586415507369,4,0.004761904761904762,0.9619047619047619,False,True,False,0.9619047619047619,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5347028260584921,0.05,76.99312499999996,6.492481701922184,20,0.023809523809523808,0.8285714285714285,False,True,False,0.8285714285714285,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5328415299300104,0.030952380952380953,77.79375,6.552631973182123,9,0.010714285714285714,0.9238095238095239,False,True,False,0.9238095238095239,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.531000770162791,0.016666666666666666,79.486875,6.667526854060843,11,0.013095238095238096,0.9047619047619048,False,True,False,0.9047619047619048,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,5,2112783261,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5327083179727197,0.02857142857142857,81.41624999999999,6.777104119325221,19,0.02261904761904762,0.8380952380952381,False,True,False,0.8380952380952381,325576895
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5430642839055508,0.010714285714285714,72.47125,6.25150186168625,6,0.007142857142857143,0.9428571428571428,False,True,False,0.9428571428571428,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5290989438071847,0.05714285714285714,77.18812499999993,6.493938310624725,25,0.02976190476190476,0.7904761904761904,False,True,False,0.7904761904761904,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,600.0,105,0.5418402987997979,0.034523809523809526,77.90437499999996,6.555128875101607,11,0.013095238095238096,0.9142857142857143,False,True,False,0.9142857142857143,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,900.0,105,0.5347015929874033,0.02619047619047619,79.81062499999996,6.697817885328148,14,0.016666666666666666,0.8761904761904762,False,True,False,0.8761904761904762,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,6,1692914418,ES+teacher training,poisson_excitatory,10.0,1200.0,105,0.5369058751966804,0.030952380952380953,81.74812499999997,6.802032577020523,18,0.02142857142857143,0.8380952380952381,False,True,False,0.8380952380952381,646602482
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,0.0,105,0.5367321060039103,0.009523809523809525,72.00187500000003,6.221643511383162,3,0.0035714285714285713,0.9714285714285714,False,True,False,0.9714285714285714,50450163
S-DES,teaching_weight_sweep,teacher_assisted_then_off,7,333505160,ES+teacher training,poisson_excitatory,10.0,300.0,105,0.5298475939780474,0.055952380952380955,76.86062499999996,6.483587551383067,23,0.02738095238095238,0.8095238095238095,False,True,False,0.8095238095238095,50450163
