algorithm,noise_type,noise_rate_hz,n_observations,n_payloads,n_models,n_noise_replicates,ber_mean,ber_std,ber_ci95_low,ber_ci95_high,ciphertext_byte_accuracy_mean,ciphertext_byte_accuracy_std,ciphertext_byte_accuracy_ci95_low,ciphertext_byte_accuracy_ci95_high,decoder_tie_fraction_mean,decoder_tie_fraction_std,decoder_tie_fraction_ci95_low,decoder_tie_fraction_ci95_high,victor_purpura_mean_mean,victor_purpura_mean_std,victor_purpura_mean_ci95_low,victor_purpura_mean_ci95_high,van_rossum_mean_mean,van_rossum_mean_std,van_rossum_mean_ci95_low,van_rossum_mean_ci95_high,exact_ciphertext_recovery_rate,exact_ciphertext_recovery_wilson95_low,exact_ciphertext_recovery_wilson95_high,decryption_success_rate,decryption_success_wilson95_low,decryption_success_wilson95_high,exact_plaintext_recovery_rate,exact_plaintext_recovery_wilson95_low,exact_plaintext_recovery_wilson95_high
DES,poisson_excitatory,5.0,24,4,3,2,0.013020833333333334,0.003447983027296065,0.01171875,0.01441080729166667,0.8993055555555557,0.027792870296021333,0.8881944444444446,0.9100694444444445,0.02717013888888889,0.006057705057163259,0.024782986111111113,0.029600694444444447,81.92010416666669,0.457120323368163,81.74746614583337,82.10423763020835,6.633209209439962,0.023673217250072393,6.623975701644684,6.6426451636538655,0.0,1.3877787807814457e-17,0.13797620467498017,0.2916666666666667,0.14914648196960875,0.49167693664496637,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_excitatory,10.0,24,4,3,2,0.014930555555555556,0.003844750378768465,0.013541666666666667,0.01644965277777778,0.8857638888888889,0.030739591799920914,0.8736024305555555,0.8975694444444443,0.028602430555555558,0.005908380848098363,0.026258680555555552,0.03098958333333333,82.24044270833333,0.5129402430171244,82.04035937500002,82.44789388020833,6.666873561600018,0.026493204666127604,6.656510386659884,6.677266047459146,0.0,1.3877787807814457e-17,0.13797620467498017,0.20833333333333334,0.09244825352851857,0.40470453253188665,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_excitatory,25.0,24,4,3,2,0.025347222222222226,0.005873845691240864,0.02309027777777778,0.02769097222222222,0.8125,0.04347524144104881,0.7951388888888888,0.8295138888888888,0.045138888888888895,0.008274627152256268,0.042099609375,0.048611111111111105,85.2184114583333,0.6082133152047329,84.98296484374997,85.45898632812496,6.888141526931659,0.036781225604684394,6.872652910574655,6.902546648506444,0.0,1.3877787807814457e-17,0.13797620467498017,0.041666666666666664,0.0073934561655057685,0.20241806478655938,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_excitatory,50.0,24,4,3,2,0.05633680555555556,0.006181055928830455,0.05394965277777778,0.05881076388888889,0.6270833333333333,0.04186546776645818,0.6111111111111112,0.6437499999999999,0.09982638888888888,0.0066781679172568656,0.09713541666666665,0.10238715277777777,93.7501302083333,0.7014237263292071,93.47402864583329,94.01790820312499,7.466952854365384,0.04747950134580292,7.4477509825158625,7.485371601599182,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_excitatory,100.0,24,4,3,2,0.1482638888888889,0.006079084115851714,0.14592013888888888,0.15069444444444444,0.27777777777777773,0.036668862472679156,0.26319444444444445,0.29131944444444446,0.2576822916666666,0.010828857858292195,0.25347113715277775,0.26197916666666665,116.51687499999996,0.8960942954918427,116.17962044270828,116.87429817708329,8.859698997481232,0.04996214190600874,8.84032663521504,8.879692524997619,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_inhibitory,5.0,24,4,3,2,0.014583333333333332,0.0038242448972073454,0.01310763888888889,0.016102430555555557,0.889236111111111,0.030144495682757635,0.876736111111111,0.9006944444444445,0.032552083333333336,0.005748690383312394,0.030337456597222222,0.03485243055555556,82.83265625,0.4625469368809129,82.65599609375,83.01981770833332,6.656084957588206,0.022956913753693273,6.6476709904550635,6.664958987585211,0.0,1.3877787807814457e-17,0.13797620467498017,0.20833333333333334,0.09244825352851857,0.40470453253188665,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_inhibitory,10.0,24,4,3,2,0.01579861111111111,0.0036301638770938655,0.014366319444444444,0.017274305555555553,0.88125,0.026947121237623294,0.8704861111111111,0.8913194444444444,0.03355034722222222,0.005900390697355661,0.031206597222222226,0.03585069444444444,83.52554687499999,0.4946535936737591,83.33064192708333,83.71383463541666,6.681550137922403,0.023816996642178293,6.672450800254234,6.691276766692261,0.0,1.3877787807814457e-17,0.13797620467498017,0.125,0.04344334080123444,0.31003881270500067,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_inhibitory,25.0,24,4,3,2,0.01875,0.004483009389729828,0.01705729166666667,0.02065972222222222,0.8590277777777778,0.03829997498348934,0.8434027777777778,0.8732725694444445,0.036284722222222225,0.005809236807587935,0.03407118055555556,0.038585069444444446,85.63583333333334,0.5593713616187947,85.42383789062501,85.86055143229167,6.772923031039571,0.027549378812054118,6.762774473310645,6.78383969959523,0.0,1.3877787807814457e-17,0.13797620467498017,0.16666666666666666,0.06678676328632951,0.3585307064969906,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_inhibitory,50.0,24,4,3,2,0.02634548611111111,0.006683905239167856,0.023741319444444447,0.028993055555555553,0.8076388888888889,0.04713511431629615,0.7888888888888888,0.8246527777777778,0.04791666666666666,0.009347281890686798,0.04435655381944444,0.051779513888888885,88.92049479166667,0.692222146894349,88.66122265625,89.20601627604168,6.951367563212796,0.0375411577436548,6.936973080188208,6.9664027469405765,0.0,1.3877787807814457e-17,0.13797620467498017,0.125,0.04344334080123444,0.31003881270500067,0.0,1.3877787807814457e-17,0.13797620467498017
DES,poisson_inhibitory,100.0,24,4,3,2,0.11228298611111111,0.009601133273728435,0.10855034722222223,0.11597222222222221,0.3899305555555555,0.04777533768064014,0.3711805555555556,0.4083333333333334,0.16892361111111112,0.012434409234510184,0.1640625,0.1737424045138889,93.67229166666668,0.5625290954632963,93.45259895833333,93.88365169270831,7.376832048488716,0.03141653173327185,7.363347098111372,7.388325529109753,0.0,1.3877787807814457e-17,0.13797620467498017,0.041666666666666664,0.0073934561655057685,0.20241806478655938,0.0,1.3877787807814457e-17,0.13797620467498017
