algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,unit_id,model_trial,payload_id,noise_replicate,noise_seed,noise_type,noise_rate_hz
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,54.40999999999989,5.566589636742168,72,79,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,55.25999999999991,5.406559028640835,82,84,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,87.03,6.985173840253582,128,145,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,108.67999999999999,7.947621445344604,148,184,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,46.379999999999924,5.086032520631467,62,68,S-DES|m0|p0|r0,0,0,0,1917772909,poisson_excitatory,25.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,112.03999999999989,8.363801007769858,138,182,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,57.02000000000002,5.856717905747614,72,85,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,54.66999999999986,5.651266669709885,68,78,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,110.81999999999982,8.270185541692221,142,182,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,68.51000000000003,6.374164686061613,88,104,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,94.29999999999994,7.4598605527679585,122,151,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,115.85000000000016,8.455083696315604,146,191,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,50.59999999999999,5.366388049803949,64,71,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,45.34999999999986,5.071645834776186,58,65,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,122.35000000000001,8.751847550707552,152,206,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,105.33000000000001,8.01340991564673,138,175,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,58.44999999999999,5.992113105585216,72,86,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,12,6,0,64.10999999999997,6.2016494967839355,82,95,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,13,6,1,103.62000000000016,8.069853372984445,128,166,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,14,7,0,118.24999999999976,8.494000640931326,148,198,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,15,7,1,48.289999999999864,5.299740320693096,62,71,S-DES|m0|p0|r0,0,0,0,1766989372,poisson_excitatory,50.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,0,0,0,123.69000000000011,9.099899459259179,138,200,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,1,0,1,74.46999999999997,7.150797378612137,72,106,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,2,1,0,67.32,6.668988496391247,68,94,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,3,1,1,136.27000000000004,9.671165995102331,142,213,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,4,2,0,83.5199999999999,7.457563087214812,88,123,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,5,2,1,120.32999999999987,9.01794641640015,122,183,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,6,3,0,128.7899999999999,9.277008525588194,146,213,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,7,3,1,65.90000000000002,6.614891300640187,64,91,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,8,4,0,59.949999999999974,6.45023855800968,58,84,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,9,4,1,138.04999999999993,9.801386396731363,152,228,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,10,5,0,125.05999999999985,9.15902238351861,138,199,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
S-DES,full_noise_campaign,es_stdp_teacher_off,0,11,5,1,67.19999999999999,6.588149752795364,72,97,S-DES|m0|p0|r0,0,0,0,704363219,poisson_excitatory,100.0
