algorithm,trial,plaintext_bytes,ciphertext_bytes,encryption_s,encoding_s,network_build_s,snn_simulation_s,spike_readout_s,decoding_s,decryption_s,online_total_without_build_s,online_total_with_build_s,peak_process_rss_mb,decoder_tie_fraction,decryption_success,exact_plaintext_recovery
AES,4,105,128,0.00012690690346062183,0.00017742905765771866,0.06630707089789212,0.6524065961129963,8.241413161158562e-05,0.016059749061241746,6.101303733885288e-05,0.6689141083043069,0.735221179202199,587.890625,0.048828125,False,False
AES,5,105,128,0.0001289239153265953,0.00017988518811762333,0.06398434704169631,0.6623657278250903,8.197082206606865e-05,0.015360629186034203,6.248382851481438e-05,0.6781796207651496,0.7421639678068459,587.890625,0.0439453125,False,False
AES,6,105,128,0.00020756712183356285,0.00020776409655809402,0.0678151969332248,0.6600324751343578,8.008279837667942e-05,0.01600023894570768,7.265200838446617e-05,0.6766007801052183,0.7444159770384431,587.890625,0.0380859375,False,False
AES,7,105,128,0.00016177515499293804,0.00020409910939633846,0.06396374898031354,0.6558505608700216,8.13719816505909e-05,0.015376349911093712,5.327397957444191e-05,0.6717274310067296,0.7356911799870431,587.890625,0.0478515625,False,False
AES,8,105,128,0.0001256719697266817,0.00017546885646879673,0.06388133205473423,0.6565763789694756,8.148490451276302e-05,0.0160585748963058,6.215809844434261e-05,0.673079737694934,0.7369610697496682,587.890625,0.0439453125,False,False
AES,9,105,128,0.00016257097013294697,0.0002051179762929678,0.06448885006830096,0.6555792239960283,8.101807907223701e-05,0.01576469000428915,8.462602272629738e-05,0.6718772470485419,0.7363660971168429,587.890625,0.04296875,False,False
ChaCha20,0,105,117,0.00015504006296396255,0.0001834218855947256,0.06544765993021429,0.6013401560485363,8.209794759750366e-05,0.014438922982662916,3.5695964470505714e-05,0.6162353348918259,0.6816829948220402,587.890625,0.0438034188034188,True,False
ChaCha20,1,105,117,0.00011690007522702217,0.00016371812671422958,0.06389193492941558,0.5983749839942902,8.176802657544613e-05,0.014394176891073585,4.041288048028946e-05,0.6131719599943608,0.6770638949237764,587.890625,0.03739316239316239,True,False
ChaCha20,2,105,117,0.00015175295993685722,0.0001828530803322792,0.06510454206727445,0.6004875891376287,7.961015217006207e-05,0.013775588013231754,3.4844037145376205e-05,0.614712237380445,0.6798167794477195,587.890625,0.04807692307692308,True,False
ChaCha20,3,105,117,0.0001108639407902956,0.00016266899183392525,0.06496730190701783,0.60221286281012,8.028699085116386e-05,0.01442181202583015,4.0877144783735275e-05,0.6170293719042093,0.6819966738112271,587.890625,0.049145299145299144,True,False
