algorithm,noise_type,noise_rate_hz,n_paired_units,baseline_ber_mean,noise_ber_mean,mean_delta_ber,median_delta_ber,wilcoxon_statistic,p_value,p_holm,significant_holm_0_05
RSA,poisson_mixed,10.0,24,0.02490234375,0.0263671875,0.00146484375,0.00146484375,42.5,0.0035771004171260344,0.010731301251378103,True
RSA,poisson_mixed,25.0,24,0.02490234375,0.029215494791666668,0.004313151041666667,0.004638671875,0.0,1.750973401279079e-05,0.00026264601019186185,True
RSA,poisson_mixed,50.0,24,0.02490234375,0.034769694010416664,0.009867350260416666,0.009521484375,0.0,1.794810383208005e-05,0.00026264601019186185,True
RSA,poisson_mixed,100.0,24,0.02490234375,0.046122233072916664,0.021219889322916668,0.020263671875,0.0,1.7895042146750995e-05,0.00026264601019186185,True
S-DES,poisson_excitatory,5.0,24,0.0020833333333333333,0.0038194444444444448,0.0017361111111111112,0.001190476190476191,1.5,0.00010673549264863083,0.0003373960828310918,True
S-DES,poisson_excitatory,10.0,24,0.0020833333333333333,0.0052579365079365075,0.003174603174603175,0.0035714285714285718,0.0,2.5049363481940317e-05,0.0002665757690631366,True
S-DES,poisson_excitatory,25.0,24,0.0020833333333333333,0.013740079365079365,0.011656746031746032,0.012499999999999999,0.0,1.7912715457470545e-05,0.0002665757690631366,True
S-DES,poisson_excitatory,50.0,24,0.0020833333333333333,0.03933531746031746,0.037251984126984126,0.0380952380952381,0.0,1.8072402374229977e-05,0.0002665757690631366,True
S-DES,poisson_excitatory,100.0,24,0.0020833333333333333,0.09930555555555555,0.09722222222222222,0.09940476190476191,0.0,1.810804199678463e-05,0.0002665757690631366,True
S-DES,poisson_inhibitory,5.0,24,0.0020833333333333333,0.003273809523809524,0.0011904761904761906,0.0011904761904761908,3.0,0.0004406254464418647,0.000538180247642427,True
S-DES,poisson_inhibitory,10.0,24,0.0020833333333333333,0.0035714285714285713,0.001488095238095238,0.0011904761904761906,2.5,7.95238791041964e-05,0.0003373960828310918,True
S-DES,poisson_inhibitory,25.0,24,0.0020833333333333333,0.005654761904761905,0.003571428571428572,0.0035714285714285718,2.0,3.393529723345771e-05,0.0002665757690631366,True
S-DES,poisson_inhibitory,50.0,24,0.0020833333333333333,0.014037698412698413,0.01195436507936508,0.013095238095238094,0.0,1.777171793754244e-05,0.0002665757690631366,True
S-DES,poisson_inhibitory,100.0,24,0.0020833333333333333,0.08779761904761905,0.08571428571428573,0.08869047619047618,0.0,1.8072402374229977e-05,0.0002665757690631366,True
S-DES,poisson_mixed,5.0,24,0.0020833333333333333,0.0036210317460317457,0.0015376984126984127,0.0011904761904761908,1.5,6.747921656621836e-05,0.0003373960828310918,True
S-DES,poisson_mixed,10.0,24,0.0020833333333333333,0.0040178571428571425,0.0019345238095238096,0.0011904761904761908,2.0,0.0002690901238212135,0.000538180247642427,True
S-DES,poisson_mixed,25.0,24,0.0020833333333333333,0.00560515873015873,0.003521825396825397,0.0035714285714285718,0.0,5.620101776200095e-05,0.0003372061065720057,True
S-DES,poisson_mixed,50.0,24,0.0020833333333333333,0.009821428571428571,0.007738095238095238,0.0071428571428571435,0.0,1.785973723933819e-05,0.0002665757690631366,True
S-DES,poisson_mixed,100.0,24,0.0020833333333333333,0.022023809523809525,0.01994047619047619,0.019642857142857142,0.0,1.7912715457470545e-05,0.0002665757690631366,True
