algorithm,experiment,condition,trial,rail,bit_index,bit_value,victor_purpura,van_rossum,l1_spike_count,l3_spike_count,noise_seed,noise_type,noise_rate_hz
S-DES,teaching_ablation,full_network,1,5,2,1,164.86999999999975,12.599243963853532,128,256,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,6,3,0,174.4699999999999,12.956462261760134,134,268,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,7,3,1,79.62000000000009,8.125811703497929,76,127,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,8,4,0,60.300000000000104,7.137537673135139,56,96,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,9,4,1,207.41,14.388700513254651,154,319,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,10,5,0,186.61999999999995,13.427933614597535,144,289,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,11,5,1,69.53000000000004,7.582670154052939,66,109,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,12,6,0,93.8700000000001,8.9272796513988,86,149,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,13,6,1,159.52999999999994,12.342080582528268,124,246,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,14,7,0,169.47,12.766231626253314,130,261,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,full_network,1,15,7,1,90.60999999999994,8.910955318253105,80,144,1643688073,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,0,0,0,80.89000000000009,6.727918271965181,118,131,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,1,0,1,62.4800000000001,5.8431899362152775,92,96,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,2,1,0,54.249999999999964,5.407057675997493,78,82,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,3,1,1,88.26999999999987,7.001022224780995,132,148,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,4,2,0,57.820000000000086,5.608916779948965,82,87,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,5,2,1,88.81999999999994,7.0578128850321855,128,145,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,6,3,0,89.79000000000019,7.03722625298997,134,147,1410663990,poisson_excitatory,10.0
S-DES,teaching_ablation,es_stdp_teacher_off,2,7,3,1,54.98999999999999,5.4566373662099235,76,78,1410663990,poisson_excitatory,10.0
